goal;sdt-cluster;title;description;gpt_sector;gpt_sector_reason;source;label_manual
I would like to be committed to a cause (e.g., environment, anti-crime, anti-drugs).;autonomy;Volunteering in Zaragoza with People with Disabilities;"Activity description
        The Project is contextualized in a group of young people with physical and/or intellectual disabilities, which presents the need to cover their free time through sociocultural activities, improve their interpersonal relationships and access standardized leisure with participation and on an equal footing.
The volunteer will carry out 100% of your activity in our social programs. In his day to day he will deal with the users of the organization, young people and adults with a physical and / or intellectual disability, favoring through the proposed activities, the social inclusion of these. In addition, it will actively participate in disability awareness and visibility programmes with children and youth in educational centres and activities aimed at the general population. He will be part of the Foundation's team of sociocultural activities.
                    Accommodation, food and transport arrangements
        Accommodation of the volunteers will be done in an apartment of the entity. This is located in an area of Zaragoza called ACTUR and is located above the Occupational Center, and about 30 minutes from the Center that they will attend in the afternoon. They will have a room, living room with TV, kitchen and bathroom. Very close to the apartment have all kinds of services (pharmacies, bars, shopping centers...) and urban bus and tram lines that will facilitate travel to your volunteer centers.Volunteers have the dining service in the same facilities where they carry out the volunteer activity.                    Training during the activity
        Our Volunteer Plan includes training for the volunteer team. We will make them part of the training actions that are proposed during the project (specific on volunteering and disability, first aid in people with disabilities, mobilization and support for people with disabilities.... As for language training they will receive support from the platform designed for this purpose and we will provide personalized support through the figure of a local volunteer or a worker of the entity.                    Participant profile
        The profile requested for participation in the project is as follows:

- Motivated people by working with people with disabilities.
- Possession of social awareness and promotion of equality.
- Open minded Young people
- With good readiness and learning capacity.
- Workers and managers
- That they like to work as a team.
- Open, dynamic and extroverted people 
- With average knowledge of Spanish";Betreuung von pflegebedürftigen Personen;Working with people with disabilities.;EU;0.0
I would like to practice religious traditions.;autonomy; Volunteering for older people;How you can get involvedDo you enjoy being around people and would like to support us on a voluntary basis? Then you have come to the right place.You can choose from the following options – but we are also open to new ideas:Visiting serviceAfternoon gamesGoing for a walkReading aloudSinging and making musicAccompanying people to church servicesAccompanying people on excursions… What is expected of you Creativity Interest in music What you get from the organization for your commitment Training Volunteer coordination/ongoing support Proof of competence Proof of volunteer work Use of the organization’s offers Team meetings, opportunity to exchange ideas Participation in internal events (e.g. parties) Liability insurance Accident insurance Further training opportunities Diakoniewerk Upper Austria Contact personIsabel BeuchelVolunteer management and coordination+43 7235 65 50 54 18 11isabel.beuchel@diakoniewerk.at Always stay up to date with our newsletter Tips for your voluntary work, current volunteer opportunities or exciting events straight to your inbox.;Betreuung von pflegebedürftigen Personen;Besuche und Begleitung älterer Menschen;ULF;1.0
I would like to have an exciting, stimulating life.;autonomy;volunteer/bingo support;"extendicare michener hill's recreation department is currently looking for a volunteer bingo support. bingo is one of most popular recreation program in michener hill. our bingo schedules are tuesdays from 1:30 pm - 3:30 pm and wednesdays from 10:00 am - 11:30 am. if you are interested on meeting new people and supporting individuals who are in need, this will be a great opportunity. volunteers will mainly assist with keeping track of resident bingo cards. thank you for your time and consideration.

we can be contacted through email or phone #(403) 348-0340 ext.8215";Betreuung von pflegebedürftigen Personen;Bingo support für Bewohner;VC;1.0
I would like to help others.;autonomy;hair salon assistant - sylvan lake;"bethany riverview is seeking a dynamic volunteer who enjoys interacting with and providing support to seniors. hair salon assistant volunteers support senior residents throughout their onsite salon appointments. engaging with the residents in the form of conversation, providing reassurance and care, and portering to and from their appointment. you will also support the salon staff with coordinating the residents, shampooing, and light cleaning duties as required.
we all enjoy a nice day at the salon, feeling pampered! support and supervision are provided by the salon staff and volunteer coordinator.

please note: bethany care society uses an external application process. to apply, select ""apply now"", scroll down, and select ""proceed to application process"". you will be redirected to our website.";Betreuung von pflegebedürftigen Personen;Supporting senior residents in salon.;VC;1.0
I would like to achieve salvation.;autonomy;Stay Active Volunteer vol. 2;"Activity description
        InCo-Molfetta has just opened a new selection for future volunteers in 10 hosting projects. Projects last 4-10-12 months and starts in May 2023. What placements we have? - Schools: volunteers will help teacher and staff in english languages, workshops, non-formal learning, events, music, theatre, art and creativity. - Associaizone InCo: volunteers will help in editing social media, podcasts, promote EU, support youngsters to have their projects, etc. - Associazione Appoggiati a me: volunteers will support the leisure time of authistic pupils. - Trullo Beach: volunteer will help in a camper beach club with environments and recreational activities for kids. If you are interested: - read carefully here: https://www.incoweb.org/Progetti/In-Italia/Stay-Active-Volunteer-vol.-2 - download, fill the application form and send to molfetta@incoweb.org: https://docs.google.com/document/d/1vk5Rm6saS-3pW9882cTJwEVO0yWIMPCJ/edit?usp=share_link&ouid=104663689292486419815&rtpof=true&sd=true                    Accommodation, food and transport arrangements
        Volunteers will live in a shared flat (4-5-11 people) in double room, fully equipped with shared kitchen and bathroom. Regarding food an extra pocket money of 150 euros monthly will be provided.                    Training during the activity
        Volunteers will receive an Italian language course and job shadowing during the first month of activity. Mentor and tutor will be available for the whole duration of the activity. Beside that, many complementary activities are organized by InCo.                    Participant profile
         - Candidate should be over 18 years old and registered to the ESC portal 
- Must be very motivated and committed to the voluntary activity. 
- Interested in the topic of the project 
- A minimum B1 level of English. Knowledge of italian language is a plus. Candidates are required to send cv and application form in English.";Bildung;Englischunterricht und Workshops;EU;0.0
I would like to practice religious traditions.;autonomy;Beccogiallo - integration in kindergarten;"Activity description
        The Association ""Il beccogiallo"" is since 1986 a permanent space of sharing and cultural care in favor of aggregation and implementation of all the social components available in order to promote a real CULTURE OF CHILDHOOD. The very young members, aged from 3 to 14 years, are currently about 250; adult volunteers are about 15 and they take care of educational, cultural and organizational aspects together with the professional educators and staff. Since 1997 the association signed an agreement with the City of Matera for the Partial Socio-Educational Custody of children with social, economic and migrant background. Within the association, those issues are faced thanks to the plurality of cultures and social situations among the children. During all year Il Beccogiallo organizes activities to support the children to grow open-minded, without limits and no stereotypes. The daily activities are based on home-work support, leisure time activities so as summer camps and cultural visits.                    Accommodation, food and transport arrangements
        The project is located in the Capital of Culture 2019 Matera. The volunteers do get hosted in apartments, self managed, in double rooms, fully equipped kitchen, laundry, shared bathroom.
The apartments are in the centre of Matera city, so there is no need for transportation. The other room mates are also volunteers coming from all of Europe for other volunteering projects. Volunteers receive money for food monthly and as rule of ESC program receives pocket money (calculated as 5€ per day) and food money (155€) via bank transfer.                    Training during the activity
        The volunteers will be involved in the following activities:
- support the daily life of the association, helping the staff with after school activities of kids from 6 to 14 years or, leisure time activities for kids from 3 to 6 years, and general management of the space, break time, entrance and exit of the kids;
- activities related with literature, sports, music or theater for children, sometimes open to parents and the local community; Volunteers will be involved from the preparation to the phase of implementation;
Read all here: https://mtv2019.wordpress.com/projects/il-beccogiallo/                    Participant profile
        Beccogiallo searches for a person who does love CHILDREN, EDUCATION and FUN. It is important that the volunteer wants to be an example for the children and might have the goal to realize this kind of work as a profession in the future, so to have personal goals in learning education styles and be really supportive to the staff.
It is possible to choose if to work with the class of the small ones (3-5 years) which means more leisure time activities or with the scholars (6-14 years) and support the home work and studying part.
General request: between 20 and 30 years; basic Italian or French;";Bildung;Kinderbetreuung, Bildung, Freizeitaktivitäten;EU;0.0
I would like to set good examples for others.;autonomy; Learning assistants for children aged 6 to 14;How you can get involvedOur target group are children aged 6 to 14 at primary schools, middle schools or the lower grades of grammar schools who need learning support in German, English and mathematics. Support us with your joy in working with children, your knowledge and your competence.As a learning assistant, you decide for yourself:how many hours a week (at least 1 hour once a week)which subjects (German, English, mathematics)which children (primary school and/or middle school and/or lower secondary school) CV with letter of motivationpatienceempathy What you will receive from the institution for your commitment School enrollment Volunteer coordination/continuous support Proof of volunteer work Team meetings, exchange opportunities Insurance Liability Further training offer Appropriate equipment (textbooks, learning games, etc.) Appropriate equipment (textbooks, learning games, etc.) Linzer Lerntafel Contact personAmra Beganović, BSc.Chairwoman+43 677 62 33 36 17linzlerntafel@gmail.com Always stay up to date with our newsletter Tips for your voluntary work, current volunteer opportunities or exciting events straight to your inbox.;Bildung;Learning support for children;ULF;1.0
I would like to be appreciated by others;autonomy;"""Moving Forward 3.0""";"Activity description
        At WSG Univeristy in Bydgoszcz volunteers have the opportunity to develop their skills and gain new experiences among people of different age ranges: in the Nursery, Day Care Center for the Elder people, International Relations Office, Europe Direct, Library, Design Studio/Marketing department and Museum of Photography.                    Accommodation, food and transport arrangements
        The flat rented in the city center is shared with other volunteers. It provides standard and essential household equipment.
Volunteers are receiving 150 EUR for food - according to the rules of the European Solidarity Corps.
All the expenses of local transport (tram, bus) are covered by the project.
                    Training during the activity
        Volunteers participate in On-Arrival and Mid-Term training organized by the Polish National Agency.                    Participant profile
        The host organization is looking for young people who are:
- willing to volunteer with people of different ages (infants in the Nursery, children in the Kindergarten, school children, students and participants in the Day Care Center);
- open to learning about the cultural heritage of Poland and the culture of the other participants;
- ready to implement their own ideas that will meet the needs of the local and academic community;
- speak English at a level of min. B1";Bildung;Volunteering in educational institutions;EU;1.0
I would like to have firm values.;autonomy;"Web Developer Volunteer
          
          


Save to Favorites";Attach Resume Toward ApplicationOur organization is seeking a talented and experienced volunteer to join our team. As a web developer, you will be responsible for creating and monitoring short and long videos to promote our current core messaging, which is to promote lifestyle habits to prevent chronic diseases.Responsibilities: Develop responsive and visually appealing landing pages for our audiences and Google Ads. Collaborate with the marketing team to implement user interface elements and enhance user experience. Troubleshoot and debug issues to ensure smooth website functionality across all devices. Stay up-to-date with new technologies and industry trends to continually improve our web development practices.Benefits: The opportunity to gain hands-on experience in Google Ads advertising and web development.  Have access to premium subscription web development services such as WordPress, Elementor, Canva Premium, Ghost, and Mailchimp. Mentorship and guidance from experienced professionals in the field, providing valuable insights and advice for your career growth. A letter of recommendation and a certificate of completion acknowledging your contributions and dedication to the foundation. If you are passionate about web development and eager to kick-start your career in this dynamic field, we invite you to apply for this exciting volunteer opportunity.;Bildung;Webentwicklung für Bildungszwecke.;VM;0.0
I would like to explore, be adventurous.;autonomy;Interculturality and transmission! Volunteer at a French High School;"Activity description
        LEAP Lestonnac is a vocational High School focused on People care and Services to territories professions. We are located in a rural area and we provide training for youngsters from 13 to 20 years old. We are looking for 1 volunteer to promote international mobility, transmission and interculturality! The volunteer will have to develop ways to interact with students during non-formal periods (such as breaks, meals, outings, evening time at our boarding school, etc.) to support the learning of the Spanish language. The interaction with students is not only inside but also -more importantly- outside of the classroom. He/She will be able to develop personal projects related to international mobility, interculturality, social and language exchange... Plus help with the 2-week mobility internship in Spain and help in the students preparation. There will also be cultural and social events, language exchange, sharing of customs among other activities for the volunteers to develop more skills!                    Accommodation, food and transport arrangements
        The volunteer will live in front of the High School in an apartment for 2 people including 2 private bedrooms, shared bathroom facilities, a small kitchenette and a living-room. He/She will share it with the second volunteer (ISC). Free time can be spent in or off site. Weekends are off and most of the school holidays (some of the training sessions organised by ESC will take place over holiday periods). All the meals will be provided and served in the school cafeteria (including weekends and holidays).There is access to all health or administrative services in the village and public transport                    Training during the activity
        The volunteer will attend 2 training sessions organised by the ESC programme. The volunteer will be guided to develop educational skills: professional practices, approaches in terms of formal and non-formal education to then integrate them into their professional career. Also, be able to develop their oral and written communication skills, using all the resources at their disposal (including digital), before, during and after the mobility and the setting up of educational activities. They will learn or improve the expression in French. Check the Infopack: https://bit.ly/Lestonnac2024                    Participant profile
        If you are interested in education, you want to know more about our Erasmus projects, and you are an outgoing person, this opportunity is for you.We are looking for 1 Spanish-speaking volunteer who should be able to take initiative and communicate easily with students, eager to gain a new intercultural experience with a good capacity of adaptation. The volunteer should be outgoing, self-motivated and/or have experience in communication and international mobility. Some characteristics that will suit the profile: reliable, sociable, approachable, responsible, flexible, organized, creative...";Bildung;Interkultureller Austausch und Sprachförderung.;EU;1.0
