goal;sdt-cluster
I would like to be popular and be in the center of things.;relatedness
I would like to be able to attract a sexual partner.;relatedness
I would like to have sexual experiences.;relatedness
I would like to be emotionally intimate with a romantic partner.;relatedness
I would like to be in love.;relatedness
I would like to be clean and neat.;relatedness
I would like to be busy or active.;relatedness
I would like to control my physical environment.;relatedness
I would like to take as long as necessary and not hurry.;relatedness
I would like to be fashionable.;relatedness
I would like to be good looking and attractive.;relatedness
I would like to be conventional or traditional.;relatedness
I would like to feel safe and secure.;relatedness
I would like to have stability in life and avoid change.;relatedness
I would like to be taken care of.;relatedness
I would like to have a mentor to guide me.;relatedness
I would like to beat people in a competition.;relatedness
I would like to be better than others.;relatedness
I would like to control others.;relatedness
I would like to make decisions for others.;relatedness
I would like to get revenge.;relatedness
I would like to have others give me what I want.;relatedness
I would like to be a leader and be in charge.;relatedness
I would like to influence and persuade others.;relatedness
I would like to enforce accountability.;relatedness
I would like to be physically active.;relatedness
I would like to be physically fit.;relatedness
I would like to be physically healthy, maintaining a healthy weight and eating nutritious foods.;relatedness
I would like to be physically able to do my daily routine activities.;relatedness
I would like to have athletic ability.;relatedness
I would like to be a good parent, teaching and transmitting values.;relatedness
I would like to be emotionally close to my children.;relatedness
I would like to have a stable, secure family life.;relatedness
I would like to have a good marriage.;relatedness
I would like to live close to my parents, siblings, or grandparents.;relatedness
I would like to receive help from my parents, siblings, or grandparents.;relatedness
I would like to obey my parents.;relatedness
I would like to respect my elders.;relatedness
I would like to accomplish difficult things and overcome challenges.;competence
I would like to overcome failure.;competence
I would like to master what I set out to do.;competence
I would like to be ambitious and hardworking.;competence
I would like to be highly competent.;competence
I would like to avoid failure.;competence
I would like to strive for perfection.;competence
I would like to be confident and assured.;competence
I would like to be confident in my own judgment..;competence
I would like to be in full control of ones life..;competence
I would like to be self-sufficient, independent..;competence
Setting and following my own guidelines..;competence
I would like to be disciplined, following my intentions with behavior..;competence
I would like to be self controlled..;competence
I would like to be responsible, dependable..;competence
I would like to be logical, rational..;competence
I would like to be practical, having common sense..;competence
I would like to carefully think through decisions..;competence
I would like to be alert or attentive..;competence
Keeping things in order (my desk, office, house, etc.)..;competence
I would like to keep things manageable..;competence
I would like to make plans..;competence
I would like to attend to details..;competence
I would like to get things right (accurate, correct)..;competence
I would like to be efficient, not waste time..;competence
I would like to be on time..;competence
I would like to do things quickly..;competence
I would like to be able to analyze and synthesize information..;competence
I would like to be good at working with mechanical objects and technology..;competence
Understanding how physical objects/systems work..;competence
I would like to be intelligent or smart..;competence
